!! YAML file for Class AA verbs

gatáa+V+SINGULAR+IMPERATIVE: gatáa
: gatáaga                          gatáa+V+IMMEDIATE+PRESENT
: kúnid'ang'wägiinii               kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+DIRECT+PAST+HABITUAL
: kúnid'ang'wägaangaa              kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+PAST+HABITUAL
: kúnid'ang'wägaangaan             kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+INDIRECT+PAST+HABITUAL
: kúnid'ang'waaäsaa                kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+LONG
: kúnid'ang'waaäs                  kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+SHORT
: kúnid'ang'waaäsaang              kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+SIMPLE+FUTURE
: kúnid'ang'waaäsga                kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+IMMEDIATE+FUTURE
: kúnid'ang'waaäsaas               kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+RELATIVE+FUTURE
: kúnid'ang'waaäsaa.ang            kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+FUTURE+NON_FACTIVE
: kúnid'waa.ang ñasaa'áng          kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+NEAR+FUTURE
: kúnid'waa.ang ñasaa'ánggang      kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+NEAR+FUTURE
: kúnid'waa.ang ñasaasdlä'áng      kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+VERYNEAR+FUTURE
: kúnid'waa.ang ñasaasdlä'ánggang  kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+VERYNEAR+FUTURE
: kúnid'ang'waa'uuj                kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+IMMEDIATE+PRESENT
: kúnid'ang'waa'uujang             kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+SIMPLE+PRESENT
: kúnid'ang'waaäsaa'uujang         kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+RESIGNED_OBLIGATION
: kúnid'ang'waa'us                 kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PRESENT
: kúnid'ang'waa'ujaa               kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST
: kúnid'ang'waa'uujaangaa          kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST+HABITUAL
: kúnid'ang'waaäsaa'us             kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+FUTURE
: kúnid'ang'waa'ahlanggang         kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+PRESENT
: kúnid'ang'waa'ahlanggan          kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+PAST
: kúnid'ang'waa'ahlanggiinii       kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+PAST+HABITUAL
: kúnid'ang'waaäsaa'ahlans         kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+FUTURE
: kúnid'ang'waa'ahlans             kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+RELATIVE
: kúnid'ang'aawaa'ahlang           kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+INTENSIVE+PAST
: kúnid'ang'aawaa'ahlanggaa        kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: kúnid'ang'aawaa'ahlanggang       kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+COUNTERFACTUAL+PRESENT
: kúnid'ang'waa'ahl                kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+REFLEXIVE
: kúnid'ang'waaäseehl              kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+FUTURE+REFLEXIVE+INTERROGATIVE

! LEXICON CLASS_ID_STEM_2

: kúniida                           kúnid+V+IMMEDIATE+PRESENT
: kúniidang                         kúnid+V+SIMPLE+PRESENT
: kúniidan                          kúnid+V+DIRECT+PAST
: kúniidang                         kúnid+V+NON_FACTIVE
: kúniidang                         kúnid+V+INTERROGATIVE+PRESENT+HABITUAL
: kúniidanggang                     kúnid+V+PRESENT+HABITUAL
: kúniidangang                      kúnid+V+PRESENT+HABITUAL+NON_FACTIVE
: kúniidiinii                       kúnid+V+DIRECT+PAST+HABITUAL
: kúniidaangaa                      kúnid+V+INTERROGATIVE+PAST+HABITUAL
: kúniidaangaan                     kúnid+V+INDIRECT+PAST+HABITUAL
: kúniidang ñasa'áa                 kúnid+V+INTERROGATIVE+NEAR+FUTURE
: kúniidang ñasa'áang               kúnid+V+NEAR+FUTURE
: kúniidang ñasaasdláa              kúnid+V+INTERROGATIVE+VERYNEAR+FUTURE
: kúniidang ñasaasdláang            kúnid+V+VERYNEAR+FUTURE
: kúniid'ahlanggang                 kúnid+V+CERTAIN+PRESENT
: kúniid'ahlanggan                  kúnid+V+CERTAIN+PAST
: kúniid'ahlanggiinii               kúnid+V+CERTAIN+PAST+HABITUAL
: kúniid'ahlans                     kúnid+V+CERTAIN+RELATIVE
: kúniidaa'ahlang                   kúnid+V+INTENSIVE+PAST
: kúniidaa'ahlanggaa                kúnid+V+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: kúniidaa'ahlanggang               kúnid+V+COUNTERFACTUAL+PRESENT
: kúniid'ahl                        kúnid+V+REFLEXIVE
: kúniidang'waa                     kúnid+V+3rd_PERSON_PLURAL+INTERROGATIVE+PRESENT+HABITUAL
: kúniidang'waang                   kúnid+V+3rd_PERSON_PLURAL+PRESENT+HABITUAL
: kúniidang'waa.ang                 kúnid+V+3rd_PERSON_PLURAL+PRESENT+HABITUAL+NON_FACTIVE
: kúniidang'anggang                 kúnid+V+NEGATIVE+PRESENT+HABITUAL
: kúniidang'angang                  kúnid+V+NEGATIVE+PRESENT+HABITUAL+NON_FACTIVE
: kúniidang ñasaa'áng               kúnid+V+NEGATIVE+INTERROGATIVE+NEAR+FUTURE
: kúniidang ñasaa'ánggang           kúnid+V+NEGATIVE+NEAR+FUTURE
: kúniidang ñasaasdlä'áng           kúnid+V+NEGATIVE+INTERROGATIVE+VERYNEAR+FUTURE
: kúniidang ñasaasdlä'ánggang       kúnid+V+NEGATIVE+VERYNEAR+FUTURE
: kúniidang'ang'waa                 kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+PRESENT+HABITUAL
: kúniidang'ang'waang               kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+PRESENT+HABITUAL
: kúniidang'ang'waa.ang             kúnid+V+NEGATIVE+3rd_PERSON_PLURAL+PRESENT+HABITUAL+NON_FACTIVE

! LEXICON CLASS_IHL_STEM_1

: hlgihl                            hlgihl+V+SINGULAR+IMPERATIVE
: hlgihl                            hlgihl+V+INTERROGATIVE+SIMPLE+PRESENT
: hlgihls                           hlgihl+V+RELATIVE
: hlgihläsaa                        hlgihl+V+INTERROGATIVE+FUTURE+LONG
: hlgihläs                          hlgihl+V+INTERROGATIVE+FUTURE+SHORT
: hlgihläsaang                      hlgihl+V+SIMPLE+FUTURE
: hlgihläsga                        hlgihl+V+IMMEDIATE+FUTURE
: hlgihläsaas                       hlgihl+V+RELATIVE+FUTURE
: hlgihläsaa.ang                    hlgihl+V+FUTURE+NON_FACTIVE
: hlgihl'uuj                        hlgihl+V+BIASED+IMMEDIATE+PRESENT
: hlgihl'uujang                     hlgihl+V+BIASED+SIMPLE+PRESENT
: hlgihläsaa'uujang                 hlgihl+V+RESIGNED_OBLIGATION
: hlgihl'us                         hlgihl+V+BIASED+INTERROGATIVE+PRESENT
: hlgihl'ujaa                       hlgihl+V+BIASED+INTERROGATIVE+PAST
: hlgihl'uujaangaa                  hlgihl+V+BIASED+INTERROGATIVE+PAST+HABITUAL
: hlgihläsaa'us                     hlgihl+V+BIASED+INTERROGATIVE+FUTURE
: hlgihläsaa'ahlans                 hlgihl+V+CERTAIN+FUTURE
: hlgihläseehl                      hlgihl+V+FUTURE+REFLEXIVE+INTERROGATIVE
: hlgihl'uu                         hlgihl+V+PLURAL+IMPERATIVE
: hlgihl'waa                        hlgihl+V+3rd_PERSON_PLURAL+IMMEDIATE+PRESENT
: hlgihl'waa                        hlgihl+V+3rd_PERSON_PLURAL+INTERROGATIVE+SIMPLE+PRESENT
: hlgihl'waang                      hlgihl+V+3rd_PERSON_PLURAL+SIMPLE+PRESENT
: hlgihl'wägan                      hlgihl+V+3rd_PERSON_PLURAL+DIRECT+PAST
: hlgihl'aawaa                      hlgihl+V+3rd_PERSON_PLURAL+INTERROGATIVE+PAST
: hlgihl'aawaan                     hlgihl+V+3rd_PERSON_PLURAL+INDIRECT+PAST
: hlgihl'waas                       hlgihl+V+3rd_PERSON_PLURAL+RELATIVE
: hlgihl'aawaas                     hlgihl+V+3rd_PERSON_PLURAL+RELATIVE+EVIDENTIAL
: hlgihl'waa.ang                    hlgihl+V+3rd_PERSON_PLURAL+NON_FACTIVE
: hlgihl'aawaa.ang                  hlgihl+V+3rd_PERSON_PLURAL+PAST+NON_FACTIVE
: hlgihl'wägiinii                   hlgihl+V+3rd_PERSON_PLURAL+DIRECT+PAST+HABITUAL
: hlgihl'wägaangaa                  hlgihl+V+3rd_PERSON_PLURAL+INTERROGATIVE+PAST+HABITUAL
: hlgihl'wägaangaan                 hlgihl+V+3rd_PERSON_PLURAL+INDIRECT+PAST+HABITUAL
: hlgihl'waaäsaa                    hlgihl+V+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+LONG
: hlgihl'waaäs                      hlgihl+V+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+SHORT
: hlgihl'waaäsaang                  hlgihl+V+3rd_PERSON_PLURAL+SIMPLE+FUTURE
: hlgihl'waaäsga                    hlgihl+V+3rd_PERSON_PLURAL+IMMEDIATE+FUTURE
: hlgihl'waaäsaas                   hlgihl+V+3rd_PERSON_PLURAL+RELATIVE+FUTURE
: hlgihl'waaäsaa.ang                hlgihl+V+3rd_PERSON_PLURAL+FUTURE+NON_FACTIVE
: hlgihl'waa.ang ñasa'áa            hlgihl+V+3rd_PERSON_PLURAL+INTERROGATIVE+NEAR+FUTURE
: hlgihl'waa.ang ñasa'áang          hlgihl+V+3rd_PERSON_PLURAL+NEAR+FUTURE
: hlgihl'waa.ang ñasaasdláa         hlgihl+V+3rd_PERSON_PLURAL+INTERROGATIVE+VERYNEAR+FUTURE
: hlgihl'waa.ang ñasaasdláang       hlgihl+V+3rd_PERSON_PLURAL+VERYNEAR+FUTURE
: hlgihl'waa'uuj                    hlgihl+V+3rd_PERSON_PLURAL+BIASED+IMMEDIATE+PRESENT
: hlgihl'waa'uujang                 hlgihl+V+3rd_PERSON_PLURAL+BIASED+SIMPLE+PRESENT
: hlgihl'waaäsaa'uujang             hlgihl+V+3rd_PERSON_PLURAL+RESIGNED_OBLIGATION
: hlgihl'waa'us                     hlgihl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PRESENT
: hlgihl'waa'ujaa                   hlgihl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST
: hlgihl'waa'uujaangaa              hlgihl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST+HABITUAL
: hlgihl'waaäsaa'us                 hlgihl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+FUTURE
: hlgihl'waa'ahlanggang             hlgihl+V+3rd_PERSON_PLURAL+CERTAIN+PRESENT
: hlgihl'waa'ahlanggan              hlgihl+V+3rd_PERSON_PLURAL+CERTAIN+PAST
: hlgihl'waa'ahlanggiinii           hlgihl+V+3rd_PERSON_PLURAL+CERTAIN+PAST+HABITUAL
: hlgihl'waaäsaa'ahlans             hlgihl+V+3rd_PERSON_PLURAL+CERTAIN+FUTURE
: hlgihl'waa'ahlans                 hlgihl+V+3rd_PERSON_PLURAL+CERTAIN+RELATIVE
: hlgihl'aawaa'ahlang               hlgihl+V+3rd_PERSON_PLURAL+INTENSIVE+PAST
: hlgihl'aawaa'ahlanggaa            hlgihl+V+3rd_PERSON_PLURAL+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: hlgihl'aawaa'ahlanggang           hlgihl+V+3rd_PERSON_PLURAL+COUNTERFACTUAL+PRESENT
: hlgihl'waa'ahl                    hlgihl+V+3rd_PERSON_PLURAL+REFLEXIVE
: hlgihl'waaäseehl                  hlgihl+V+3rd_PERSON_PLURAL+FUTURE+REFLEXIVE+INTERROGATIVE
: hlgihl'ang                        hlgihl+V+NEGATIVE+SINGULAR+IMPERATIVE
: hlgihl'angga                      hlgihl+V+NEGATIVE+IMMEDIATE+PRESENT
: hlgihl'ang                        hlgihl+V+NEGATIVE+INTERROGATIVE+SIMPLE+PRESENT
: hlgihl'anggang                    hlgihl+V+NEGATIVE+SIMPLE+PRESENT
: hlgihl'anggan                     hlgihl+V+NEGATIVE+DIRECT+PAST
: hlgihl'aangaa                     hlgihl+V+NEGATIVE+INTERROGATIVE+PAST
: hlgihl'aangaan                    hlgihl+V+NEGATIVE+INDIRECT+PAST
: hlgihl'ans                        hlgihl+V+NEGATIVE+RELATIVE
: hlgihl'aangaas                    hlgihl+V+NEGATIVE+RELATIVE+EVIDENTIAL
: hlgihl'angang                     hlgihl+V+NEGATIVE+NON_FACTIVE
: hlgihl'aangaa.ang                 hlgihl+V+NEGATIVE+PAST+NON_FACTIVE
: hlgihl'anggang                    hlgihl+V+NEGATIVE+INTERROGATIVE+PRESENT+HABITUAL
: hlgihl'anggiinii                  hlgihl+V+NEGATIVE+DIRECT+PAST+HABITUAL
: hlgihl'anggaangaa                 hlgihl+V+NEGATIVE+INTERROGATIVE+PAST+HABITUAL
: hlgihl'anggaangaan                hlgihl+V+NEGATIVE+INDIRECT+PAST+HABITUAL
: hlgihl'angäsaa                    hlgihl+V+NEGATIVE+INTERROGATIVE+FUTURE+LONG
: hlgihl'angäs                      hlgihl+V+NEGATIVE+INTERROGATIVE+FUTURE+SHORT
: hlgihl'angäsaang                  hlgihl+V+NEGATIVE+SIMPLE+FUTURE
: hlgihl'angäsga                    hlgihl+V+NEGATIVE+IMMEDIATE+FUTURE
: hlgihl'angäsaas                   hlgihl+V+NEGATIVE+RELATIVE+FUTURE
: hlgihl'angäsaa.ang                hlgihl+V+NEGATIVE+FUTURE+NON_FACTIVE
: hlgihl'ang'uuj                    hlgihl+V+NEGATIVE+BIASED+IMMEDIATE+PRESENT
: hlgihl'ang'uujang                 hlgihl+V+NEGATIVE+BIASED+SIMPLE+PRESENT
: hlgihl'angäsaa'uujang             hlgihl+V+NEGATIVE+RESIGNED_OBLIGATION
: hlgihl'ang'us                     hlgihl+V+NEGATIVE+BIASED+INTERROGATIVE+PRESENT
: hlgihl'ang'ujaa                   hlgihl+V+NEGATIVE+BIASED+INTERROGATIVE+PAST
: hlgihl'ang'uujaangaa              hlgihl+V+NEGATIVE+BIASED+INTERROGATIVE+PAST+HABITUAL
: hlgihl'angäsaa'us                 hlgihl+V+NEGATIVE+BIASED+INTERROGATIVE+FUTURE
: hlgihl'aang'ahlanggang            hlgihl+V+NEGATIVE+CERTAIN+PRESENT
: hlgihl'aang'ahlanggan             hlgihl+V+NEGATIVE+CERTAIN+PAST
: hlgihl'aang'ahlanggiinii          hlgihl+V+NEGATIVE+CERTAIN+PAST+HABITUAL
: hlgihl'angäsaa'ahlans             hlgihl+V+NEGATIVE+CERTAIN+FUTURE
: hlgihl'aang'ahlans                hlgihl+V+NEGATIVE+CERTAIN+RELATIVE
: hlgihl'aangaa'ahlang              hlgihl+V+NEGATIVE+INTENSIVE+PAST
: hlgihl'aangaa'ahlanggaa           hlgihl+V+NEGATIVE+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: hlgihl'aangaa'ahlanggang          hlgihl+V+NEGATIVE+COUNTERFACTUAL+PRESENT
: hlgihl'aang'ahl                   hlgihl+V+NEGATIVE+REFLEXIVE
: hlgihl'angäseehl                  hlgihl+V+NEGATIVE+FUTURE+REFLEXIVE+INTERROGATIVE
: hlgihl'ang'uu                     hlgihl+V+NEGATIVE+PLURAL+IMPERATIVE
: hlgihl'ang'waa                    hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+IMMEDIATE+PRESENT
: hlgihl'ang'waa                    hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+SIMPLE+PRESENT
: hlgihl'ang'waang                  hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+SIMPLE+PRESENT
: hlgihl'ang'wägan                  hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+DIRECT+PAST
: hlgihl'ang'aawaa                  hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+PAST
: hlgihl'ang'aawaan                 hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+INDIRECT+PAST
: hlgihl'ang'waas                   hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+RELATIVE
: hlgihl'ang'aawaas                 hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+RELATIVE+EVIDENTIAL
: hlgihl'ang'waa.ang                hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+NON_FACTIVE
: hlgihl'ang'aawaa.ang              hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+PAST+NON_FACTIVE
: hlgihl'ang'wägiinii               hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+DIRECT+PAST+HABITUAL
: hlgihl'ang'wägaangaa              hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+PAST+HABITUAL
: hlgihl'ang'wägaangaan             hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+INDIRECT+PAST+HABITUAL
: hlgihl'ang'waaäsaa                hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+LONG
: hlgihl'ang'waaäs                  hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+SHORT
: hlgihl'ang'waaäsaang              hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+SIMPLE+FUTURE
: hlgihl'ang'waaäsga                hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+IMMEDIATE+FUTURE
: hlgihl'ang'waaäsaas               hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+RELATIVE+FUTURE
: hlgihl'ang'waaäsaa.ang            hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+FUTURE+NON_FACTIVE
: hlgihl'waa.ang ñasaa'áng          hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+NEAR+FUTURE
: hlgihl'waa.ang ñasaa'ánggang      hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+NEAR+FUTURE
: hlgihl'waa.ang ñasaasdlä'áng      hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+VERYNEAR+FUTURE
: hlgihl'waa.ang ñasaasdlä'ánggang  hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+VERYNEAR+FUTURE
: hlgihl'ang'waa'uuj                hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+IMMEDIATE+PRESENT
: hlgihl'ang'waa'uujang             hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+SIMPLE+PRESENT
: hlgihl'ang'waaäsaa'uujang         hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+RESIGNED_OBLIGATION
: hlgihl'ang'waa'us                 hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PRESENT
: hlgihl'ang'waa'ujaa               hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST
: hlgihl'ang'waa'uujaangaa          hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST+HABITUAL
: hlgihl'ang'waaäsaa'us             hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+FUTURE
: hlgihl'ang'waa'ahlanggang         hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+PRESENT
: hlgihl'ang'waa'ahlanggan          hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+PAST
: hlgihl'ang'waa'ahlanggiinii       hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+PAST+HABITUAL
: hlgihl'ang'waaäsaa'ahlans         hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+FUTURE
: hlgihl'ang'waa'ahlans             hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+RELATIVE
: hlgihl'ang'aawaa'ahlang           hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+INTENSIVE+PAST
: hlgihl'ang'aawaa'ahlanggaa        hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: hlgihl'ang'aawaa'ahlanggang       hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+COUNTERFACTUAL+PRESENT
: hlgihl'ang'waa'ahl                hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+REFLEXIVE
: hlgihl'ang'waaäseehl              hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+FUTURE+REFLEXIVE+INTERROGATIVE

! LEXICON CLASS_IHL_STEM_2

: hlgílga                          hlgihl+V+IMMEDIATE+PRESENT
: hlgílgang                        hlgihl+V+SIMPLE+PRESENT
: hlgílgan                         hlgihl+V+DIRECT+PAST
: hlgíl.ang                        hlgihl+V+NON_FACTIVE
: hlgílgang                        hlgihl+V+INTERROGATIVE+PRESENT+HABITUAL
: hlgílganggang                    hlgihl+V+PRESENT+HABITUAL
: hlgílgangang                     hlgihl+V+PRESENT+HABITUAL+NON_FACTIVE
: hlgílgiinii                      hlgihl+V+DIRECT+PAST+HABITUAL
: hlgílgaangaa                     hlgihl+V+INTERROGATIVE+PAST+HABITUAL
: hlgílgaangaan                    hlgihl+V+INDIRECT+PAST+HABITUAL
: hlgílang ñasa'áa                 hlgihl+V+INTERROGATIVE+NEAR+FUTURE
: hlgílang ñasa'áang               hlgihl+V+NEAR+FUTURE
: hlgílang ñasaasdláa              hlgihl+V+INTERROGATIVE+VERYNEAR+FUTURE
: hlgílang ñasaasdláang            hlgihl+V+VERYNEAR+FUTURE
: hlgílgang'waa                    hlgihl+V+3rd_PERSON_PLURAL+INTERROGATIVE+PRESENT+HABITUAL
: hlgílgang'waang                  hlgihl+V+3rd_PERSON_PLURAL+PRESENT+HABITUAL
: hlgílgang'waa.ang                hlgihl+V+3rd_PERSON_PLURAL+PRESENT+HABITUAL+NON_FACTIVE
: hlgílgang'anggang                hlgihl+V+NEGATIVE+PRESENT+HABITUAL
: hlgílgang'angang                 hlgihl+V+NEGATIVE+PRESENT+HABITUAL+NON_FACTIVE
: hlgílang ñasaa'áng               hlgihl+V+NEGATIVE+INTERROGATIVE+NEAR+FUTURE
: hlgílang ñasaa'ánggang           hlgihl+V+NEGATIVE+NEAR+FUTURE
: hlgílang ñasaasdlä'áng           hlgihl+V+NEGATIVE+INTERROGATIVE+VERYNEAR+FUTURE
: hlgílang ñasaasdlä'ánggang       hlgihl+V+NEGATIVE+VERYNEAR+FUTURE
: hlgílgang'ang'waa                hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+PRESENT+HABITUAL
: hlgílgang'ang'waang              hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+PRESENT+HABITUAL
: hlgílgang'ang'waa.ang            hlgihl+V+NEGATIVE+3rd_PERSON_PLURAL+PRESENT+HABITUAL+NON_FACTIVE

! LEXICON CLASS_IHL_STEM_3

: hlgéelaa                          hlgihl+V+INTERROGATIVE+PAST
: hlgéelaan                         hlgihl+V+INDIRECT+PAST
: hlgéelaas                         hlgihl+V+RELATIVE+EVIDENTIAL
: hlgéelaa.ang                      hlgihl+V+PAST+NON_FACTIVE
: hlgéel'ahlanggang                 hlgihl+V+CERTAIN+PRESENT
: hlgéel'ahlanggan                  hlgihl+V+CERTAIN+PAST
: hlgéel'ahlanggiinii               hlgihl+V+CERTAIN+PAST+HABITUAL
: hlgéel'ahlans                     hlgihl+V+CERTAIN+RELATIVE
: hlgéelaa'ahlang                   hlgihl+V+INTENSIVE+PAST
: hlgéelaa'ahlanggaa                hlgihl+V+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: hlgéelaa'ahlanggang               hlgihl+V+COUNTERFACTUAL+PRESENT
: hlgéel'ahl                        hlgihl+V+REFLEXIVE

! LEXICON CLASS_IID

: gisíid                            gisíid+V+SINGULAR+IMPERATIVE
: gisíida                           gisíid+V+IMMEDIATE+PRESENT
: gisíid                            gisíid+V+INTERROGATIVE+SIMPLE+PRESENT
: gisíidang                         gisíid+V+SIMPLE+PRESENT
: gisíidan                          gisíid+V+DIRECT+PAST
: gisíidaa                          gisíid+V+INTERROGATIVE+PAST
: gisíidaan                         gisíid+V+INDIRECT+PAST
: gisíids                           gisíid+V+RELATIVE
: gisíidaas                         gisíid+V+RELATIVE+EVIDENTIAL
: gisíidang                         gisíid+V+NON_FACTIVE
: gisíidaa.ang                      gisíid+V+PAST+NON_FACTIVE
: gisíidang                         gisíid+V+INTERROGATIVE+PRESENT+HABITUAL
: gisíidanggang                     gisíid+V+PRESENT+HABITUAL
: gisíidangang                      gisíid+V+PRESENT+HABITUAL+NON_FACTIVE
: gisíidiinii                       gisíid+V+DIRECT+PAST+HABITUAL
: gisíidaangaa                      gisíid+V+INTERROGATIVE+PAST+HABITUAL
: gisíidaangaan                     gisíid+V+INDIRECT+PAST+HABITUAL
: gisíidäsaa                        gisíid+V+INTERROGATIVE+FUTURE+LONG
: gisíidäs                          gisíid+V+INTERROGATIVE+FUTURE+SHORT
: gisíidäsaang                      gisíid+V+SIMPLE+FUTURE
: gisíidäsga                        gisíid+V+IMMEDIATE+FUTURE
: gisíidäsaas                       gisíid+V+RELATIVE+FUTURE
: gisíidäsaa.ang                    gisíid+V+FUTURE+NON_FACTIVE
: gisíidang ñasa'áa                 gisíid+V+INTERROGATIVE+NEAR+FUTURE
: gisíidang ñasa'áang               gisíid+V+NEAR+FUTURE
: gisíidang ñasaasdláa              gisíid+V+INTERROGATIVE+VERYNEAR+FUTURE
: gisíidang ñasaasdláang            gisíid+V+VERYNEAR+FUTURE
: gisíid'uuj                        gisíid+V+BIASED+IMMEDIATE+PRESENT
: gisíid'uujang                     gisíid+V+BIASED+SIMPLE+PRESENT
: gisíidäsaa'uujang                 gisíid+V+RESIGNED_OBLIGATION
: gisíid'us                         gisíid+V+BIASED+INTERROGATIVE+PRESENT
: gisíid'ujaa                       gisíid+V+BIASED+INTERROGATIVE+PAST
: gisíid'uujaangaa                  gisíid+V+BIASED+INTERROGATIVE+PAST+HABITUAL
: gisíidäsaa'us                     gisíid+V+BIASED+INTERROGATIVE+FUTURE
: gisíid'ahlanggang                 gisíid+V+CERTAIN+PRESENT
: gisíid'ahlanggan                  gisíid+V+CERTAIN+PAST
: gisíid'ahlanggiinii               gisíid+V+CERTAIN+PAST+HABITUAL
: gisíidäsaa'ahlans                 gisíid+V+CERTAIN+FUTURE
: gisíid'ahlans                     gisíid+V+CERTAIN+RELATIVE
: gisíidaa'ahlang                   gisíid+V+INTENSIVE+PAST
: gisíidaa'ahlanggaa                gisíid+V+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
